circuitId,pirelli_url,tyre_stress,asphalt_abrasion,asphalt_grip,downforce,lateral
albert_park,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/melbourne-grandprix,1,3,1,4,2
suzuka,https://racingspot.pirelli.com/global/en-ww/gp-japan,5,4,4,3,5
shanghai,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/shanghai-grandprix,4,3,3,2,4
sochi,https://racingspot.pirelli.com/global/en-ww/gp-russia,2,2,3,4,3
BAK,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/baku-grandprix,3,1,2,2,2
marina_bay,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/singapore-grandprix,1,3,1,5,2
catalunya,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/barcelona-catalunya-grandprix,4,3,4,4,4
monaco,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/monte-carlo-grandprix,1,1,1,5,1
ricard,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/le-castellet-grandprix,4,3,3,3,4
red_bull_ring,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/spielberg-grandprix,2,1,2,3,3
silverstone,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/silverstone-grandprix,5,3,4,4,5
hockenheimring,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/hockenheim-grandprix,3,2,3,3,3
hungaroring,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/budapest-grandprix,3,3,4,4,4
spa,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/spa-francorchamps-grandprix,5,4,4,2,5
monza,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/monza-grandprix,5,3,2,1,2
yas_marina,https://racingspot.pirelli.com/global/en-ww/gp-abudhabi,2,2,2,3,3
bahrain,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-race/sakhir-grandprix,3,5,4,2,3
interlagos,https://racingspot.pirelli.com/global/en-ww/gp-brazil,3,3,3,4,4
villeneuve,https://www.pirelli.com/tyres/en-gb/motorsport/f1/calendar-and-circuits/montreal-grandprix,2,1,1,2,1
rodriguez,https://racingspot.pirelli.com/global/en-ww/gp-mexico,3,2,2,5,2
americas,https://racingspot.pirelli.com/global/en-ww/gp-us,3,3,2,3,4
